133-0058-OD-2IN-11010-N-PS,9794.235,8457.946,100.467,SB3-2
133-0041-SDM-2IN-11055-N-PS,9793.806,8449.766,100.311,P25-B1
133-0062-OD-2IN-11010-N-PS,9790.251,8451.52,100.313,P21-B1
133-0062-OD-2IN-11010-N-PS,9790.251,8451.52,100.391,P20-A
133-0063-N2-2IN-11010-N-PS,9793.705,8449.864,102.6,HG2-B
133-0047-PA-2IN-18010-N-PS,9793.705,8450.064,102.6,HG2-B
133-0056-STL-2IN-11010-H-PS,9793.705,8450.314,102.63,HG1-A
133-0047-UW-2IN-18100-N-PS,9793.705,8450.564,102.6,HG2-B
133-0056-STL-2IN-11010-H-PS,9799.395,8456.283,102.63,HG1-A
133-0047-PA-2IN-18010-N-PS,9799.395,8456.033,102.6,HG2-B
133-0063-N2-2IN-11010-N-PS,9799.395,8455.833,102.6,HG2-B
133-0047-UW-2IN-18100-N-PS,9799.395,8456.532,102.6,HG2-B
133-0006-N2-2IN-11010-N-PS,9800.013,8458,112.53,SUPPORT
133-0088-SCL-2IN-11055-PG-PS,9796.416,8445.923,107.16,SB10-2
133-0088-SCL-2IN-11055-PG-PS,9796.416,8445.923,104.16,SB9-2
133-0006-SCL-2IN-11030-PG-PS,9796.399,8461.496,105.33,SUPPORT
133-0006-SCL-2IN-11030-PG-PS,9796.399,8464.496,105.33,SUPPORT
133-0088-SCL-2IN-11055-PG-PS,9796.501,8445.923,107.53,PLATPENEL.107
133-0014-SCL-2IN-11030-PG-PS,9800.943,8461.5,105.22,P8-C1
133-0014-SCL-2IN-11030-PG-PS,9800.943,8464.496,105.22,P8-C1
133-0014-SCL-2IN-11030-PG-PS,9801.163,8464.496,105.3,HG2-B
133-0011-STL-2IN-11010-H-PS,9801.063,8457.435,105.021,VG2-2
133-0011-STL-2IN-11010-H-PS,9800.663,8457.48,101.668,P60-B4
133-0130-SDM-2IN-31055-N-PS,9794.389,8447.211,100.451,SB3-2
133-0010-N2-3IN-11055-N-PS,9795.004,8441.75,111.864,DA201-3
133-0006-N2-2IN-11010-N-PS,9796.527,8455.5,103.25,SUPPORT
133-0006-N2-2IN-11010-N-PS,9796.527,8450.9,103.22,HG2-B
133-0006-N2-2IN-11010-N-PS,9796.527,8448.114,103.25,SUPPORT
133-0006-N2-2IN-11010-N-PS,9792.94,8443.226,110.538,SB1-2
133-0011-STL-2IN-11010-H-PS,9800.433,8457.659,115.39,P23-C4
133-0062-OD-2IN-11010-N-PS,9789.975,8451.71,100.101,TOOPENDRAIN
133-0088-SCL-2IN-11055-PG-PS,9796.459,8446.525,100.76,SB3-2
133-0006-SCL-2IN-11030-PG-PS,9796.459,8457.43,105.203,SB9-2
133-0006-SCL-2IN-11030-PG-PS,9796.399,8457.65,105.128,VG1-2
133-0011-STL-2IN-11010-H-PS,9800.663,8457.773,112.306,VG1-2
133-0017-N2-2IN-11010-N-PS,9800.213,8457.996,112.5,HG2-B
133-0002-PA-2IN-18010-N-PS,9800.413,8457.996,112.5,HG2-B
133-0002-UW-2IN-18100-N-PS,9800.913,8457.996,108.9,HG2-B
133-0011-STL-2IN-11010-H-PS,9800.813,8457.435,108.621,VG2-2
133-0014-SCL-2IN-11030-PG-PS,9801.163,8458,105.3,HG2-B
133-0010-N2-3IN-11055-N-PS,9795.257,8441.75,110.498,T3-3
133-0002-UW-2IN-18100-N-PS,9800.913,8464.496,108.96,HG2-B
133-0040-STL-2IN-11010-H-PS,9821.977,8468.63,106.395,133-NSPS-012
133-0047-N2-2IN-11010-N-PS,9822.487,8468.57,106.425,SB9-2
133-0031-PA-1.5IN-18010-N-PS,9822.176,8468.57,106.425,SB9-1-1/2
133-0040-STL-2IN-11010-H-PS,9822.037,8468.57,106.425,SB9-2
133-0031-UW-1.5IN-18100-N-PS,9821.696,8468.57,106.425,SB9-1-1/2
133-0010-N2-3IN-11055-N-PS,9795.257,8441.75,111.908,T1-3
133-0010-N2-3IN-11055-N-PS,9795.003,8441.75,110.498,SUPPORT
133-0005-N2-2IN-11010-N-PS,9808.15,8450.015,102.214,P42-B2
133-0040-STL-2IN-11010-H-PS,9823.613,8468.52,101.652,P60-B4
133-0011-STL-2IN-11010-H-PS,9800.723,8457.43,112.276,SB9-2
133-0011-STL-2IN-11010-H-PS,9800.723,8457.43,108.686,SB9-2
133-0002-PA-2IN-18010-N-PS,9800.473,8457.43,108.686,SB9-2
133-0017-N2-2IN-11010-N-PS,9800.273,8457.43,108.686,SB9-2
133-0011-STL-2IN-11010-H-PS,9800.723,8457.43,105.086,SB9-2
133-0002-UW-2IN-18100-N-PS,9800.973,8457.43,105.086,SB9-2
133-0017-N2-2IN-11010-N-PS,9800.273,8457.43,105.086,SB9-2
133-0015-FAG-3IN-11055-N-PS,9813.313,8454.7,117.957,SUPPORT
133-0015-FAG-3IN-11055-N-PS,9813.313,8454.447,117.957,T1-3
133-0047-N2-2IN-11010-N-PS,9822.132,8464.5,112.42,P8-C1
133-0031-PA-1.5IN-18010-N-PS,9822.226,8464.5,112.524,SUPPORT
133-0047-N2-2IN-11010-N-PS,9822.427,8468,112.53,SUPPORT
133-0031-UW-1IN-18100-N-PS,9823.263,8468.624,100.904,133-US-030
133-0031-PA-1.5IN-18010-N-PS,9822.176,8468.57,108.686,SB9-1-1/2
133-0040-STL-2IN-11010-H-PS,9821.757,8460.864,115.84,P8-C1
133-0040-STL-2IN-11010-H-PS,9821.757,8465.144,115.84,P8-C1
133-0047-N2-2IN-11010-N-PS,9822.487,8468.57,112.286,SB9-2
133-0040-STL-2IN-11010-H-PS,9822.037,8468.57,112.286,SB9-2
133-0047-N2-2IN-11010-N-PS,9822.487,8468.57,108.686,SB9-2
133-0040-STL-2IN-11010-H-PS,9822.037,8468.57,108.686,SB9-2
133-0047-N2-2IN-11010-N-PS,9824.023,8468.57,105.086,SB9-2
133-0047-N2-2IN-11010-N-PS,9823.963,8468.45,101.725,SB7-2
133-0040-STL-2IN-11010-H-PS,9823.573,8468.57,105.086,SB9-2
133-0040-STL-2IN-11010-H-PS,9822.677,8468.565,112.221,VG2-2
133-0040-STL-2IN-11010-H-PS,9822.677,8468.565,108.621,VG2-2
133-0040-STL-2IN-11010-H-PS,9824.213,8468.565,105.021,VG2-2
133-0040-STL-2IN-11010-H-PS,9823.513,8468.45,101.725,SB7-2
133-0015-FAG-4IN-11055-N-PS,9814.515,8454.965,117.854,PLATPENEL117
133-0015-FAG-4IN-11055-N-PS,9813.313,8454.965,117.854,PLATPENEL117
133-0015-FAG-4IN-11055-N-PS,9811.05,8440.45,102.214,P42-B2
133-0015-FAG-4IN-11055-N-PS,9814.515,8456.4,116.189,HR1-4
133-0015-FAG-4IN-11055-N-PS,9813.313,8458,116.189,HR1-4
133-0015-FAG-4IN-11055-N-PS,9813.313,8462.286,116.189,HR1-4
133-0005-N2-2IN-11010-N-PS,9813.965,8455.85,103.23,SUPPORT
133-0056-STL-2IN-11010-H-PS,9796.3,8455.5,102.7,S1-2
133-0056-STL-2IN-11010-H-PS,9796.3,8450.9,102.7,S1-2
133-0006-N2-2IN-11010-N-PS,9792.94,8445.213,110.538,SB1-2
133-0012-SCL-1IN-11030-PG-PS,9796.638,8448.114,103.253,UG-1
133-0130-SDM-2IN-31055-N-PS,9793.552,8447.885,100.451,SB3-2
133-0015-FAG-4IN-11055-N-PS,9814.515,8455.85,103.2,HG2-B
133-0015-FAG-4IN-11055-N-PS,9814.515,8450.1,103.257,SUPPORT
133-0015-FAG-4IN-11055-N-PS,9814.515,8444.5,103.2,HG2-B
133-0015-FAG-4IN-11055-N-PS,9814.515,8440.5,103.257,SUPPORT
133-0015-FAG-4IN-11055-N-PS,9811.05,8440.3,102.307,HG2-B
133-0015-FAG-4IN-11055-N-PS,9814.515,8457.4,112.525,S1-4
133-0015-FAG-4IN-11055-N-PS,9814.415,8457.54,112.525,VG3-4
133-0015-FAG-4IN-11055-N-PS,9814.515,8457.4,108.925,S1-4
133-0015-FAG-4IN-11055-N-PS,9814.415,8457.54,108.925,VG3-4
133-0005-N2-2IN-11010-N-PS,9809.372,8450.526,100.032,BP-2
133-0005-N2-2IN-11010-N-PS,9808,8450.015,102.22,HG2-B
133-0005-N2-2IN-11010-N-PS,9813.965,8450.1,103.2,HG2-B
133-0005-N2-2IN-11010-N-PS,9813.965,8458,112.5,HG2-B
133-0056-STL-2IN-11010-H-PS,9795.495,8450.9,102.552,P31-A1
133-0056-STL-2IN-11010-H-PS,9795.495,8455.5,102.552,P31-A1
133-0012-SCL-1IN-11030-PG-PS,9796.708,8446.187,100.76,SB3-1
133-0041-LS-3IN-11055-N-PS,9799.13,8454.505,100.032,BP-3
133-0097-SDM-2IN-11055-N-PS,9791.255,8451.185,100.391,WALLPENPIPE
133-0062-OD-2IN-11010-N-PS,9791.005,8451.185,100.391,WALLPENPIPE
133-0047-PA-1IN-18010-N-PS,9791.888,8445.04,110.922,133-US-046
133-0031-UW-1.5IN-18100-N-PS,9821.696,8468.57,108.686,SB9-1-1/2
133-0040-STL-2IN-11010-H-PS,9821.977,8465.144,116.02,S1-2
133-0040-STL-2IN-11010-H-PS,9821.977,8460.864,115.95,HG1-A
133-0040-STL-2IN-11010-H-PS,9821.977,8460.864,116.02,S1-2
133-0056-STL-2IN-11010-H-PS,9791.443,8445.35,111.06,SB10-2
133-0011-STL-2IN-11010-H-PS,9800.663,8457.55,101.74,SB7-2
133-0011-STL-2IN-11010-H-PS,9800.663,8457.659,115.5,HG1-A
133-0011-STL-2IN-11010-H-PS,9800.663,8457.659,115.57,S1-2
133-0056-STL-2IN-11010-H-PS,9790.191,8446.39,105.8,VG2-2
133-0056-STL-2IN-11010-H-PS,9799.395,8456.283,102.7,S1-2
133-0056-STL-2IN-11010-H-PS,9793.705,8450.314,102.7,S1-2
133-0056-STL-2IN-11010-H-PS,9790.679,8449.36,102.7,S1-2
133-0031-PA-1IN-18010-N-PS,9823.806,8468.577,105.086,SB9-1
133-0031-PA-1IN-18010-N-PS,9823.806,8468.577,101.73,SB10-1
133-0031-PA-1.5IN-18010-N-PS,9822.176,8468.57,112.286,SB9-1-1/2
133-0005-N2-2IN-11010-N-PS,9809.402,8450.526,100.39,BS1-2
133-0031-UW-1IN-18100-N-PS,9823.306,8468.577,105.086,SB9-1
133-0031-UW-1IN-18100-N-PS,9823.306,8468.577,101.73,SB10-1
133-0036-LS-1IN-11055-N-PS,9792.161,8454.124,100.624,SB3-1
133-0036-LS-1IN-11055-N-PS,9793.4,8453.309,100.624,SB3-1
133-0036-LS-1IN-11055-N-PS,9793.4,8454.699,100.624,SB3-1
133-0036-LS-1IN-11055-N-PS,9793.013,8454.965,100.624,SB3-1
133-0047-N2-2IN-11010-N-PS,9824.449,8468.63,100.919,133-US-030
133-0031-PA-1IN-18010-N-PS,9823.763,8468.624,100.911,133-US-030
133-0040-STL-2IN-11010-H-PS,9823.513,8468.63,100.989,133-US-030
133-0002-UW-2IN-18100-N-PS,9800.693,8461.5,108.82,P8-C1
133-0002-UW-2IN-18100-N-PS,9800.693,8464.496,108.82,P8-C1
133-0014-SCL-2IN-11030-PG-PS,9801.163,8457.55,101.74,SB7-2
133-0017-N2-2IN-11010-N-PS,9800.213,8457.55,101.74,SB7-2
133-0011-STL-2IN-11010-H-PS,9800.663,8457.37,100.989,133-US-001
133-0014-SCL-2IN-11030-PG-PS,9801.163,8457.37,100.989,133-US-001
133-0002-UW-1IN-18100-N-PS,9800.913,8457.37,100.903,133-US-001
133-0017-N2-2IN-11010-N-PS,9799.727,8457.37,100.919,133-US-001
133-0002-PA-1IN-18010-N-PS,9800.413,8457.37,100.911,133-US-001
133-0063-N2-2IN-11010-N-PS,9791.887,8444.354,110.97,133-US-046
133-0056-STL-2IN-11010-H-PS,9791.888,8445.29,110.97,133-US-046
133-0047-UW-1IN-18100-N-PS,9791.888,8445.54,110.922,133-US-046
133-0077-SDM-1IN-11055-N-PS,9797.485,8453.359,100.478,SB3-1
133-0002-UW-1IN-18100-N-PS,9800.871,8457.417,101.745,SB10-1
133-0002-PA-1IN-18010-N-PS,9800.371,8457.417,101.745,SB10-1
133-0002-PA-2IN-18010-N-PS,9800.473,8457.43,105.086,SB9-2
133-0084-SDM-2IN-11055-N-PS,9794.37,8457.434,100.467,SB3-2
133-0031-UW-1.5IN-18100-N-PS,9821.746,8468.017,108.93,SUPPORT
133-0031-PA-1.5IN-18010-N-PS,9822.226,8468,112.524,SUPPORT
133-0040-LS-2IN-11055-N-PS,9799.016,8453.226,100.42,SB3-2
133-0005-N2-2IN-11010-N-PS,9814.025,8457.43,108.803,SB9-2
133-0005-N2-2IN-11010-N-PS,9813.965,8457.65,108.728,VG1-2
133-0005-N2-2IN-11010-N-PS,9813.965,8457.65,105.128,VG1-2
133-0005-N2-2IN-11010-N-PS,9814.025,8457.43,105.203,SB9-2
133-0002-PA-2IN-18010-N-PS,9800.413,8461.5,112.53,SUPPORT
133-0063-N2-2IN-11010-N-PS,9796.75,8450.9,102.63,SUPPORT
133-0047-PA-2IN-18010-N-PS,9796.55,8450.9,102.63,SUPPORT
133-0047-UW-2IN-18100-N-PS,9796.05,8450.9,102.63,SUPPORT
133-0063-N2-2IN-11010-N-PS,9796.75,8455.5,102.63,SUPPORT
133-0047-PA-2IN-18010-N-PS,9796.55,8455.5,102.63,SUPPORT
133-0047-UW-2IN-18100-N-PS,9796.05,8455.5,102.63,SUPPORT
133-0063-N2-2IN-11010-N-PS,9791.179,8449.36,102.63,SUPPORT
133-0047-PA-2IN-18010-N-PS,9790.929,8449.36,102.63,SUPPORT
133-0047-UW-2IN-18100-N-PS,9790.429,8449.36,102.63,SUPPORT
133-0006-SCL-2IN-11030-PG-PS,9796.399,8455.5,103.25,SUPPORT
133-0006-SCL-2IN-11030-PG-PS,9796.399,8450.9,103.25,SUPPORT
133-0041-LS-3IN-11055-N-PS,9799.175,8454.505,100.39,BS1-3
133-0040-LS-2IN-11055-N-PS,9799.076,8454.14,100.42,SB3-2
133-0010-N2-3IN-11055-N-PS,9795.004,8441.75,111.864,HG2-B
133-0006-N2-2IN-11010-N-PS,9796.521,8445.787,104.16,SB9-2
133-0006-N2-2IN-11010-N-PS,9796.527,8457.65,105.128,VG1-2
133-0006-N2-2IN-11010-N-PS,9796.587,8457.43,105.203,SB9-2
133-0063-N2-2IN-11010-N-PS,9791.442,8444.779,111.06,SB10-2
133-0047-PA-1IN-18010-N-PS,9791.443,8444.997,111.074,SB10-1
133-0047-UW-1IN-18100-N-PS,9791.443,8445.497,111.074,SB10-1
